Sounder, Date (dd/MM/YYYY), Time (hh:mm:ss), Latitude (DD;MM;SS.sss H), Longitude  (DD;MM;SS.sss H),depth, Range (m),time,lat,lon,,
EA600-18kHz,10/9/22,10:42:31 AM,23;54;16.129 S,52;38;40.040 E,4883.22,4874.23,10/9/22 10:42:31 AM,-23.90448028,52.64445556,,
EA600-18kHz,10/9/22,10:42:44 AM,23;54;14.522 S,52;38;43.553 E,4863.03,4854.36,10/9/22 10:42:44 AM,-23.90403389,52.64543139,,
EA600-18kHz,10/9/22,10:42:57 AM,23;54;12.901 S,52;38;47.066 E,4878.97,4870.01,10/9/22 10:42:57 AM,-23.90358361,52.64640722,,
EA600-18kHz,10/9/22,10:43:11 AM,23;54;11.294 S,52;38;50.606 E,4858,4849.11,10/9/22 10:43:11 AM,-23.90313722,52.64739056,,
EA600-18kHz,10/9/22,10:43:37 AM,23;54;08.028 S,52;38;57.623 E,4850.31,4840.98,10/9/22 10:43:37 AM,-23.90223,52.64933972,,
EA600-18kHz,10/9/22,10:43:51 AM,23;54;06.400 S,52;39;01.161 E,4843.86,4834.45,10/9/22 10:43:51 AM,-23.90177778,52.6503225,,
EA600-18kHz,10/9/22,10:44:17 AM,23;54;03.194 S,52;39;08.168 E,4817.12,4807.85,10/9/22 10:44:17 AM,-23.90088722,52.65226889,,
EA600-18kHz,10/9/22,10:44:31 AM,23;54;01.572 S,52;39;11.676 E,4816.03,4807.1,10/9/22 10:44:31 AM,-23.90043667,52.65324333,,
EA600-18kHz,10/9/22,10:44:44 AM,23;53;59.954 S,52;39;15.162 E,4813.13,4803.63,10/9/22 10:44:44 AM,-23.89998722,52.65421167,,
EA600-18kHz,10/9/22,10:44:58 AM,23;53;58.340 S,52;39;18.700 E,4813.5,4805.12,10/9/22 10:44:58 AM,-23.89953889,52.65519444,,
EA600-18kHz,10/9/22,10:45:11 AM,23;53;56.683 S,52;39;22.192 E,4809.92,4800.93,10/9/22 10:45:11 AM,-23.89907861,52.65616444,,
EA600-18kHz,10/9/22,10:45:24 AM,23;53;55.042 S,52;39;25.653 E,4808.99,4799.92,10/9/22 10:45:24 AM,-23.89862278,52.65712583,,
EA600-18kHz,10/9/22,10:45:38 AM,23;53;53.448 S,52;39;29.158 E,4809.12,4800.15,10/9/22 10:45:38 AM,-23.89818,52.65809944,,
